Juviniles, Adults, Seniles, Total
42,34,21,97
68,42,34,144
84,68,42,194
136,84,68,288
168,27,84,279
54,34,27,115
68,11,34,113
22,14,11,47
28,22,14,64
44,28,22,94
56,44,28,128
88,56,44,188
112,88,56,256
176,22,88,286
44,35,22,101
70,9,35,114
18,84,9,111
168,4,84,256
8,34,4,46
68,8,34,110
16,68,8,92
136,16,68,220
32,27,16,75
54,32,27,113
64,54,32,150
108,64,54,226
128,22,64,214
44,26,22,92
52,44,26,122
88,52,44,184
104,88,52,244
176,21,88,285
42,35,21,98
70,42,35,147
84,70,42,196
140,84,70,294
168,28,84,280
56,34,28,118
68,11,34,113
22,14,11,47
28,22,14,64
44,28,22,94
56,44,28,128
88,56,44,188
112,88,56,256
176,22,88,286
44,211,22,277
422,9,211,642
18,84,9,111
168,4,84,256
8,34,4,46
68,8,34,110
16,68,8,92
136,16,68,220
32,27,16,75
54,32,27,113
64,54,32,150
108,64,54,226
128,22,64,214
44,26,22,92
52,44,26,122
88,52,44,184
104,88,52,244
176,21,88,285
42,35,21,98
70,42,35,147
84,70,42,196
140,84,70,294
168,28,84,280
56,34,28,118
68,11,34,113
22,14,11,47
28,22,14,64
44,28,22,94
56,44,28,128
88,56,44,188
112,88,56,256
176,22,88,286
44,211,22,277
422,9,211,642
18,84,9,111
168,4,84,256
8,34,4,46
68,8,34,110
16,68,8,92
136,16,68,220
32,163,16,211
326,6,163,495
12,65,6,83
130,12,65,207
24,26,12,62
52,24,26,102
48,52,24,124
104,48,52,204
96,125,48,269
250,19,125,394
38,50,19,107
100,46,50,196
92,20,46,158
40,18,20,78
36,40,18,94
80,36,40,156
72,80,36,188
160,72,80,312
144,32,72,248
64,29,32,125
58,13,29,100
26,58,13,97
116,26,58,200
52,23,26,101
46,62,23,131
124,9,62,195
18,25,9,52
50,18,25,93
36,50,18,104
100,36,50,186
72,100,36,208
200,14,100,314
28,40,14,82
80,28,40,148
56,80,28,164
160,56,80,296
112,32,56,200
64,22,32,118
44,13,22,79
26,44,13,83
88,26,44,158
52,88,26,166
176,52,88,316
104,35,52,191
70,21,35,126
42,14,21,77
28,42,14,84
84,28,42,154
56,84,28,168
168,56,84,308
112,202,56,370
404,22,202,628
44,81,22,147
162,9,81,252
18,32,9,59
64,18,32,114
36,64,18,118
128,36,64,228
72,26,36,134
52,14,26,92
28,52,14,94
104,28,52,184
56,104,28,188
208,56,104,368
112,42,56,210
84,22,42,148
44,101,22,167
202,9,101,312
18,40,9,67
80,18,40,138
36,80,18,134
160,36,80,276
72,32,36,140
64,14,32,110
28,13,14,55
26,28,13,67
56,26,28,110
52,56,26,134
112,52,56,220
104,22,52,178
44,21,22,87
42,44,21,107
88,42,44,174
84,88,42,214
176,17,88,281
34,35,17,86
70,34,35,139
68,70,34,172
140,68,70,278
136,168,68,372
336,27,168,531
54,67,27,148
134,11,67,212
22,27,11,60
54,22,27,103
44,54,22,120
108,44,54,206
88,22,44,154
44,18,22,84
36,44,18,98
88,36,44,168
72,88,36,196
176,72,88,336
144,35,72,251
70,29,35,134
58,84,29,171
168,12,84,264
24,34,12,70
68,24,34,126
48,68,24,140
136,48,68,252
96,27,48,171
54,19,27,100
38,54,19,111
108,38,54,200
76,22,38,136
44,15,22,81
30,44,15,89
88,30,44,162
60,88,30,178
176,60,88,324
120,211,60,391
422,24,211,657
48,506,24,578
1012,10,506,1528
20,202,10,232
404,4,202,610
8,81,4,93
162,8,81,251
16,32,8,56
64,16,32,112
32,64,16,112
128,32,64,224
64,154,32,250
308,77,154,539
154,370,77,601
740,31,370,1141
62,148,31,241
296,12,148,456
24,59,12,95
118,24,59,201
48,142,24,214
284,10,142,436
20,341,10,371
682,4,341,1027
8,136,4,148
272,2,136,410
4,54,2,60
108,4,54,166
8,108,4,120
216,8,108,332
16,43,8,67
86,16,43,145
32,86,16,134
172,32,86,290
64,206,32,302
412,77,206,695
154,494,77,725
988,31,494,1513
62,198,31,291
396,12,198,606
24,475,12,511
950,5,475,1430
10,190,5,205
380,2,190,572
4,76,2,82
152,4,76,232
8,30,4,42
60,8,30,98
16,60,8,84
120,16,60,196
32,120,16,168
240,32,120,392
64,48,32,144
96,13,48,157
26,19,13,58
38,26,19,83
52,38,26,116
76,52,38,166
104,76,52,232
152,21,76,249
42,182,21,245
364,8,182,554
16,73,8,97
146,16,73,235
32,29,16,77
58,32,29,119
64,58,32,154
116,64,58,238
128,23,64,215
46,154,23,223
308,9,154,471
18,370,9,397
740,4,370,1114
8,888,4,900
1776,2,888,2666
4,355,2,361
710,1,355,1066
2,142,1,145
284,2,142,428
4,57,2,63
114,4,57,175
8,114,4,126
228,8,114,350
16,46,8,70
92,16,46,154
32,92,16,140
184,32,92,308
64,37,32,133
74,13,37,124
26,89,13,128
178,5,89,272
10,36,5,51
72,10,36,118
20,72,10,102
144,20,72,236
40,29,20,89
58,40,29,127
80,58,40,178
116,80,58,254
160,23,80,263
46,32,23,101
64,9,32,105
18,13,9,40
26,18,13,57
36,26,18,80
52,36,26,114
72,52,36,160
104,72,52,228
144,125,72,341
250,29,125,404
58,50,29,137
100,12,50,162
24,20,12,56
40,24,20,84
48,40,24,112
80,48,40,168
96,80,48,224
160,19,80,259
38,32,19,89
64,38,32,134
76,64,38,178
128,76,64,268
152,26,76,254
52,30,26,108
60,62,30,152
124,12,62,198
24,25,12,61
50,24,25,99
48,50,24,122
100,48,50,198
96,100,48,244
200,115,100,415
230,40,115,385
80,276,40,396
552,16,276,844
32,110,16,158
220,6,110,336
12,44,6,62
88,12,44,144
24,88,12,124
176,24,88,288
48,35,24,107
70,58,35,163
116,14,58,188
28,139,14,181
278,6,139,423
12,334,6,352
668,2,334,1004
4,134,2,140
268,1,134,403
2,54,1,57
108,2,54,164
4,108,2,114
216,4,108,328
8,43,4,55
86,8,43,137
16,86,8,110
172,16,86,274
32,34,16,82
68,32,34,134
64,68,32,164
136,64,68,268
