Juviniles, Adults, Seniles, Total
330937946486,523068051894,165468973243,1019474971623
1046136103788,165468973243,523068051894,1734673128925
330937946486,523068051894,165468973243,1019474971623
1046136103788,198562767892,523068051894,1767766923574
397125535784,627681662273,198562767892,1223369965949
1255363324546,277987875049,627681662273,2161032861868
555975750098,1004290659637,277987875049,1838254284784
2008581319274,389183025069,1004290659637,3402055003980
778366050138,1205148791564,389183025069,2372697866771
2410297583128,622692840110,1205148791564,4238139214802
1245385680220,1205148791564,622692840110,3073227311894
2410297583128,747231408132,1205148791564,4362677782824
1494462816264,1205148791564,747231408132,3446843015960
2410297583128,896677689758,1205148791564,4512124064450
1793355379516,1446178549877,896677689758,4136211619151
2892357099754,1255348765661,1446178549877,5593884415292
2510697531322,1446178549877,1255348765661,5212224846860
2892357099754,1506418518793,1446178549877,5844954168424
3012837037586,1735414259852,1506418518793,6254669816231
3470828519704,2410269630069,1735414259852,7616512409625
4820539260138,1735414259852,2410269630069,8966223150059
3470828519704,2410269630069,1735414259852,7616512409625
4820539260138,2429579963793,2410269630069,9660388854000
4859159927586,2892323556083,2429579963793,10181063447462
5784647112166,3401411949310,2892323556083,12078382617559
6802823898620,2892323556083,3401411949310,13096559404013
5784647112166,4761976729034,2892323556083,13438947397283
9523953458068,2892323556083,4761976729034,17178253743185
5784647112166,6666767420648,2892323556083,15343738088897
13333534841296,2892323556083,6666767420648,22892625818027
5784647112166,10666827873037,2892323556083,19343798541286
21333655746074,4049252978516,10666827873037,36049736597627
8098505957032,12800193447644,4049252978516,24947952383192
25600386895288,5668954169922,12800193447644,44069534512854
11337908339844,15360232137173,5668954169922,32367094646939
30720464274346,5668954169922,15360232137173,51749650581441
11337908339844,18432278564608,5668954169922,35439141074374
36864557129216,7936535837891,18432278564608,63233371531715
15873071675782,22118734277530,7936535837891,45928341791203
44237468555060,11111150173047,22118734277530,77467353005637
22222300346094,22118734277530,11111150173047,55452184796671
44237468555060,17777840276875,22118734277530,84134043109465
35555680553750,26542481133036,17777840276875,79876001963661
53084962266072,21333408332250,26542481133036,100960851731358
42666816664500,31850977359643,21333408332250,95851202356393
63701954719286,25600089998700,31850977359643,121153022077629
51200179997400,50961563775429,25600089998700,127761833771529
101923127550858,40960143997920,50961563775429,193844835324207
81920287995840,50961563775429,40960143997920,173841995769189
101923127550858,49152172797504,50961563775429,202036864123791
98304345595008,71346189285601,49152172797504,218802707678113
142692378571202,78643476476006,71346189285601,292682044332809
157286952952012,114153902856962,78643476476006,350084332284980
228307805713924,78643476476006,114153902856962,421105185046892
157286952952012,114153902856962,78643476476006,350084332284980
228307805713924,78643476476006,114153902856962,421105185046892
157286952952012,136984683428354,78643476476006,372915112856372
273969366856708,125829562361610,136984683428354,536783612646672
251659124723220,191778556799696,125829562361610,569267243884526
383557113599392,150995474833932,191778556799696,726331145233020
301990949667864,191778556799696,150995474833932,644764981301492
383557113599392,181194569800718,191778556799696,756530240199806
362389139601436,306845690879514,181194569800718,850429400281668
613691381759028,181194569800718,306845690879514,1101731642439260
362389139601436,306845690879514,181194569800718,850429400281668
613691381759028,217433483760862,306845690879514,1137970556399404
434866967521724,368214829055417,217433483760862,1020515280338003
736429658110834,347893574017379,368214829055417,1452538061183630
695787148034758,368214829055417,347893574017379,1411895551107554
736429658110834,347893574017379,368214829055417,1452538061183630
695787148034758,515500760677584,347893574017379,1559181482729721
1031001521355168,347893574017379,515500760677584,1894395856050131
695787148034758,824801217084134,347893574017379,1868481939136271
1649602434168268,347893574017379,824801217084134,2822297225269781
695787148034758,989761460500961,347893574017379,2033442182553098
1979522921001922,347893574017379,989761460500961,3317177955520262
695787148034758,1583618336801538,347893574017379,2627299058853675
3167236673603076,556629718427806,1583618336801538,5307484728832420
1113259436855612,1583618336801538,556629718427806,3253507492084956
3167236673603076,890607549484490,1583618336801538,5641462559889104
1781215098968980,2533789338882461,890607549484490,5205611987335931
5067578677764922,1246850569278286,2533789338882461,8848218585925669
2493701138556572,2533789338882461,1246850569278286,6274341046717319
5067578677764922,1246850569278286,2533789338882461,8848218585925669
2493701138556572,3040547206658953,1246850569278286,6781098914493811
6081094413317906,1745590796989600,3040547206658953,10867232416966459
3491181593979200,4256766089322534,1745590796989600,9493538480291334
8513532178645068,1745590796989600,4256766089322534,14515889064957202
3491181593979200,5108119307187041,1745590796989600,10344891698155841
10216238614374082,1745590796989600,5108119307187041,17069948718550723
3491181593979200,5108119307187041,1745590796989600,10344891698155841
10216238614374082,2094708956387520,5108119307187041,17419066877948643
4189417912775040,8172990891499266,2094708956387520,14457117760661826
16345981782998532,2513650747665024,8172990891499266,27032623422162822
5027301495330048,13076785426398826,2513650747665024,20617737669393898
26153570852797652,4021841196264038,13076785426398826,43252197475460516
8043682392528076,18307499596958356,4021841196264038,30373023185750470
36614999193916712,4021841196264038,18307499596958356,58944339987139106
8043682392528076,18307499596958356,4021841196264038,30373023185750470
36614999193916712,6434945914022461,18307499596958356,61357444704897529
12869891828044922,18307499596958356,6434945914022461,37612337339025739
36614999193916712,9008924279631445,18307499596958356,63931423070506513
18017848559262890,18307499596958356,9008924279631445,45334272435852691
36614999193916712,9008924279631445,18307499596958356,63931423070506513
18017848559262890,21968999516350027,9008924279631445,48995772355244362
43937999032700054,12612493991484023,21968999516350027,78519492540534104
25224987982968046,35150399226160043,12612493991484023,72987881200612112
70300798452320086,17657491588077632,35150399226160043,123108689266557761
35314983176155264,49210558916624060,17657491588077632,102183033680856956
98421117833248120,28251986540924211,49210558916624060,175883663290796391
56503973081848422,59052670699948872,28251986540924211,143808630322721505
118105341399897744,33902383849109053,59052670699948872,211060395948955669
67804767698218106,59052670699948872,33902383849109053,160759822247276031
118105341399897744,47463337388752674,59052670699948872,224621349488599290
94926674777505348,59052670699948872,47463337388752674,201442682866206894
118105341399897744,66448672344253744,59052670699948872,243606684444100360
132897344688507488,70863204839938646,66448672344253744,270209221872699878
141726409679877292,79738406813104493,70863204839938646,292328021332920431
159476813626208986,113381127743901834,79738406813104493,352596348183215313
226762255487803668,111633769538346290,113381127743901834,451777152770051792
