Juviniles, Adults, Seniles, Total
340505254122,344779181380,170252627061,855537062563
689558362760,238353677885,344779181380,1272691222025
476707355770,344779181380,238353677885,1059840215035
689558362760,286024413462,344779181380,1320361957602
572048826924,413735017656,286024413462,1271808258042
827470035312,400434178847,413735017656,1641639231815
800868357694,579229024718,400434178847,1780531561259
1158458049436,640694686155,579229024718,2378381760309
1281389372310,579229024718,640694686155,2501313083183
1158458049436,640694686155,579229024718,2378381760309
1281389372310,926766439549,640694686155,2848850498014
1853532879098,896972560617,926766439549,3677271879264
1793945121234,1297473015369,896972560617,3988390697220
2594946030738,1435156096987,1297473015369,5327575143094
2870312193974,1297473015369,1435156096987,5602941306330
2594946030738,1722187316384,1297473015369,5614606362491
3444374632768,2075956824590,1722187316384,7242518773742
4151913649180,2411062242938,2075956824590,8638932716708
4822124485876,2491148189508,2411062242938,9724334918322
4982296379016,2411062242938,2491148189508,9884506811462
4822124485876,3985837103213,2411062242938,11219023832027
7971674206426,3375487140113,3985837103213,15332998449752
6750974280226,5580171944498,3375487140113,15706633364837
11160343888996,4725681996158,5580171944498,21466197829652
9451363992316,5580171944498,4725681996158,19757217932972
11160343888996,6615954794621,5580171944498,23356470628115
13231909589242,8928275111197,6615954794621,28776139495060
17856550222394,10585527671394,8928275111197,37370353004985
21171055342788,10713930133436,10585527671394,42470513147618
21427860266872,16936844274230,10713930133436,49078634674538
33873688548460,10713930133436,16936844274230,61524462956126
21427860266872,23711581983922,10713930133436,55853372384230
47423163967844,12856716160123,23711581983922,83991462111889
25713432320246,28453898380706,12856716160123,67024046861075
56907796761412,12856716160123,28453898380706,98218411302241
25713432320246,45526237409130,12856716160123,84096385889499
91052474818260,17999402624172,45526237409130,154578114851562
35998805248344,63736732372782,17999402624172,117734940245298
127473464745564,21599283149006,63736732372782,212809480267352
43198566298012,63736732372782,21599283149006,128534581819800
127473464745564,34558853038410,63736732372782,225769050156756
69117706076820,101978771796451,34558853038410,205655330911681
203957543592902,48382394253774,101978771796451,354318709643127
96764788507548,101978771796451,48382394253774,247125954557773
203957543592902,48382394253774,101978771796451,354318709643127
96764788507548,101978771796451,48382394253774,247125954557773
203957543592902,48382394253774,101978771796451,354318709643127
96764788507548,122374526155741,48382394253774,267521708917063
244749052311482,67735351955284,122374526155741,434858930422507
135470703910568,146849431386889,67735351955284,350055487252741
293698862773778,94829492737398,146849431386889,535377786898065
189658985474796,176219317664267,94829492737398,460707795876461
352438635328534,151727188379837,176219317664267,680385141372638
303454376759674,176219317664267,151727188379837,631400882803778
352438635328534,182072626055804,176219317664267,710730579048605
364145252111608,211463181197120,182072626055804,757681059364532
422926362394240,218487151266965,211463181197120,852876694858325
436974302533930,338341089915392,218487151266965,993802543716287
676682179830784,262184581520358,338341089915392,1277207851266534
524369163040716,473677525881549,262184581520358,1260231270442623
947355051763098,262184581520358,473677525881549,1683217159165005
524369163040716,473677525881549,262184581520358,1260231270442623
947355051763098,314621497824430,473677525881549,1735654075469077
629242995648860,473677525881549,314621497824430,1417542019354839
947355051763098,377545797389316,473677525881549,1798578375033963
755091594778632,757884041410478,377545797389316,1890521433578426
1515768082820956,604073275822906,757884041410478,2877725400054340
1208146551645812,909460849692574,604073275822906,2721680677161292
1818921699385148,604073275822906,909460849692574,3332455824900628
1208146551645812,909460849692574,604073275822906,2721680677161292
1818921699385148,604073275822906,909460849692574,3332455824900628
1208146551645812,1273245189569604,604073275822906,3085465017038322
2546490379139208,966517241316650,1273245189569604,4786252810025462
1933034482633300,1527894227483525,966517241316650,4427445951433475
3055788454967050,1353124137843310,1527894227483525,5936806820293885
2706248275686620,2139051918476935,1353124137843310,6198424332006865
4278103836953870,1623748965411972,2139051918476935,8040904720842777
3247497930823944,2139051918476935,1623748965411972,7010298814712851
4278103836953870,1948498758494366,2139051918476935,8365654513925171
3896997516988732,3422483069563096,1948498758494366,9267979345046194
6844966139126192,2727898261892112,3422483069563096,12995347470581400
5455796523784224,4791476297388334,2727898261892112,12975171083064670
9582952594776668,3819057566648957,4791476297388334,18193486458813959
7638115133297914,5749771556866001,3819057566648957,17206944256812872
11499543113732002,5346680593308540,5749771556866001,22595995263906543
10693361186617080,5749771556866001,5346680593308540,21789813336791621
11499543113732002,8554688949293664,5749771556866001,25804003619891667
17109377898587328,9199634490985602,8554688949293664,34863701338866594
18399268981971204,13687502318869862,9199634490985602,41286405791826668
27375004637739724,9199634490985602,13687502318869862,50262141447595188
18399268981971204,21900003710191779,9199634490985602,49498907183148585
43800007420383558,12879488287379843,21900003710191779,78579499417955180
25758976574759686,21900003710191779,12879488287379843,60538468572331308
43800007420383558,12879488287379843,21900003710191779,78579499417955180
25758976574759686,30660005194268491,12879488287379843,69298470056408020
61320010388536982,20607181259807749,30660005194268491,112587196842613222
41214362519615498,42924007271975887,20607181259807749,104745551051399134
85848014543951774,24728617511769299,42924007271975887,153500639327696960
49457235023538598,42924007271975887,24728617511769299,117109859807283784
85848014543951774,29674341014123159,42924007271975887,158446362830050820
59348682028246318,42924007271975887,29674341014123159,131947030314345364
85848014543951774,29674341014123159,42924007271975887,158446362830050820
59348682028246318,51508808726371064,29674341014123159,140531831768740541
103017617452742128,47478945622597054,51508808726371064,202005371801710246
94957891245194108,82414093962193702,47478945622597054,224850930829984864
164828187924387404,66470523871635876,82414093962193702,313712805758216982
132941047743271752,82414093962193702,66470523871635876,281825665577101330
164828187924387404,79764628645963051,82414093962193702,327006910532544157
159529257291926102,98896912754632442,79764628645963051,338190798692521595
197793825509264884,127623405833540882,98896912754632442,424314144097438208
255246811667081764,138455677856485419,127623405833540882,521325895357108065
276911355712970838,178672768166957235,138455677856485419,594039801736413492
357345536333914470,166146813427782503,178672768166957235,702165117928654208
332293626855565006,250141875433740129,166146813427782503,748582315717087638
500283750867480258,166146813427782503,250141875433740129,916572439729002890
332293626855565006,300170250520488155,166146813427782503,798610690803835664
600340501040976310,166146813427782503,300170250520488155,1066657564989246968
332293626855565006,420238350728683417,166146813427782503,918678791012030926
840476701457366834,166146813427782503,420238350728683417,1426861865613832754
332293626855565006,588333691020156784,166146813427782503,1086774131303504293
1176667382040313568,265834901484452005,588333691020156784,2030835974544922357
531669802968904010,823667167428219498,265834901484452005,1621171871881575513
1647334334856438996,319001881781342406,823667167428219498,2790003384066000900
638003763562684812,823667167428219498,319001881781342406,1780672812772246716
1647334334856438996,510403010850147850,823667167428219498,2981404513134806344
1020806021700295700,1317867467885151197,510403010850147850,2849076500435594747
2635734935770302394,612483613020177420,1317867467885151197,4566086016675631011
1224967226040354840,2108587948616241915,612483613020177420,3946038787676774175
4217175897232483830,734980335624212904,2108587948616241915,7060744181472938649
1469960671248425808,2952023128062738681,734980335624212904,5156964134935377393
5904046256125477362,1028972469873898066,2952023128062738681,9885041854062114109
2057944939747796132,4723237004900381890,1028972469873898066,7810154414522076088
9446474009800763780,1440561457823457292,4723237004900381890,15610272472524602962
2881122915646914584,6612531806860534646,1440561457823457292,10934216180330906522
13225063613721069292,2304898332517531667,6612531806860534646,22142493753099135605
4609796665035063334,10580050890976855434,2304898332517531667,17494745888529450435
21160101781953710868,2765877999021038000,10580050890976855434,34506030671951604302
5531755998042076000,14812071247367597608,2765877999021038000,23109705244430711608
29624142494735195216,3319053598825245600,14812071247367597608,47755267340928038424
6638107197650491200,20736899746314636651,3319053598825245600,30694060542790373451
41473799492629273302,4646675038355343840,20736899746314636651,66857374277299253793
9293350076710687680,29031659644840491311,4646675038355343840,42971684759906522831
58063319289680982622,4646675038355343840,29031659644840491311,91741653972876817773
9293350076710687680,34837991573808589573,4646675038355343840,48778016688874621093
69675983147617179146,4646675038355343840,34837991573808589573,109160649759781112559
9293350076710687680,34837991573808589573,4646675038355343840,48778016688874621093
69675983147617179146,4646675038355343840,34837991573808589573,109160649759781112559
9293350076710687680,41805589888570307488,4646675038355343840,55745615003636339008
83611179777140614976,4646675038355343840,41805589888570307488,130063444704066266304
9293350076710687680,50166707866284368986,4646675038355343840,64106732981350400506
100333415732568737972,5576010046026412608,50166707866284368986,156076133644879519566
11152020092052825216,60200049439541242783,5576010046026412608,76928079577620480607
120400098879082485566,7806414064436977651,60200049439541242783,188406562383060706000
15612828128873955302,60200049439541242783,7806414064436977651,83619291632852175736
120400098879082485566,9367696877324373181,60200049439541242783,189967845195948101530
18735393754648746362,96320079103265988453,9367696877324373181,124423169735239107996
192640158206531976906,13114775628254122453,96320079103265988453,302075012938052087812
26229551256508244906,134848110744572383834,13114775628254122453,174192437629334751193
269696221489144767668,13114775628254122453,134848110744572383834,417659107861971273955
26229551256508244906,188787355042401337368,13114775628254122453,228131681927163704727
377574710084802674736,15737730753904946944,188787355042401337368,582099795881108959048
31475461507809893888,264302297059361872315,15737730753904946944,311515489321076713147
528604594118723744630,22032823055466925722,264302297059361872315,814939714233552542667
