Juviniles, Adults, Seniles, Total
28,16,14,59
33,34,16,84
68,40,34,142
79,14,40,132
27,16,14,57
32,5,16,53
11,6,5,23
13,11,6,30
22,13,11,45
25,22,13,60
44,25,22,91
51,44,25,120
87,61,44,192
121,17,61,200
35,24,17,77
49,7,24,80
14,10,7,31
19,14,10,43
28,19,14,61
39,28,19,86
56,39,28,123
78,11,39,128
22,16,11,49
31,22,16,69
45,31,22,98
62,45,31,138
90,12,45,147
25,18,12,55
36,30,18,84
60,7,30,97
14,12,7,33
24,14,12,50
29,24,14,67
48,29,24,100
57,57,29,143
115,11,57,183
23,138,11,172
275,5,138,417
9,55,5,69
110,2,55,167
4,22,2,28
44,4,22,70
7,44,4,55
88,7,44,139
15,18,7,40
35,15,18,67
29,35,15,79
70,29,35,135
59,14,29,102
28,12,14,54
23,6,12,41
11,23,6,40
47,11,23,82
23,47,11,81
94,23,47,163
45,19,23,86
38,54,19,110
108,8,54,170
15,22,8,44
43,15,22,80
30,43,15,88
87,30,43,160
60,17,30,107
35,72,17,124
144,42,72,258
83,29,42,153
58,17,29,103
33,12,17,61
23,40,12,74
80,5,40,124
9,96,5,110
191,2,96,289
4,38,2,44
77,4,38,119
7,15,4,26
31,7,15,53
15,31,7,53
61,15,31,107
30,12,15,57
24,6,12,43
12,24,6,42
49,12,24,85
24,49,12,84
98,24,49,171
47,20,24,90
39,9,20,68
19,47,9,75
94,4,47,145
8,113,4,124
226,2,113,340
3,45,2,50
90,3,45,138
6,18,3,27
36,6,18,60
12,36,6,54
72,12,36,120
24,87,12,123
173,29,87,289
58,35,29,122
69,12,35,116
23,14,12,49
28,23,14,65
46,28,23,97
55,46,28,130
93,11,46,150
22,19,11,52
37,4,19,60
9,7,4,21
15,9,7,31
18,15,9,42
30,18,15,62
36,30,18,83
59,36,30,125
71,12,36,118
24,14,12,50
28,24,14,66
48,28,24,100
57,10,28,95
19,11,10,40
23,19,11,53
38,23,19,80
45,38,23,106
76,55,38,169
109,15,55,179
30,22,15,67
44,6,22,72
12,9,6,27
17,12,9,38
24,17,12,54
35,24,17,77
49,35,24,108
70,10,35,114
19,84,10,113
168,4,84,255
8,34,4,45
67,8,34,108
16,13,8,37
27,16,13,56
31,27,16,74
54,31,27,112
62,11,31,104
21,12,11,45
25,21,12,59
43,25,21,89
50,43,25,118
86,10,43,139
20,17,10,47
34,20,17,71
40,34,20,94
69,40,34,143
80,14,40,133
27,16,14,57
32,5,16,53
11,38,5,55
77,2,38,117
4,15,2,22
31,4,15,50
9,31,4,44
61,9,31,101
18,12,9,39
25,18,12,54
35,25,18,77
49,35,25,109
70,59,35,164
118,14,59,191
28,24,14,66
47,6,24,76
11,56,6,73
113,2,56,172
4,23,2,29
45,4,23,72
9,45,4,59
90,9,45,145
18,18,9,45
36,18,18,72
36,36,18,90
72,36,36,144
72,14,36,122
29,14,14,58
29,6,14,49
12,29,6,46
58,12,29,98
23,58,12,92
115,23,58,196
46,23,23,92
46,9,23,78
19,9,9,37
18,19,9,46
37,18,19,74
37,37,18,92
74,37,37,148
74,89,37,199
178,15,89,281
29,36,15,80
71,6,36,113
12,85,6,103
171,2,85,258
5,34,2,41
68,5,34,107
9,14,5,28
27,9,14,50
19,27,9,56
55,19,27,101
38,11,19,68
22,8,11,40
15,22,8,44
44,15,22,81
30,44,15,89
87,30,44,161
60,17,30,108
35,12,17,64
24,7,12,43
14,24,7,45
48,14,24,86
28,48,14,90
97,28,48,173
56,116,28,200
232,11,116,359
22,46,11,80
93,4,46,144
9,19,4,32
37,9,19,65
18,37,9,64
74,18,37,129
36,89,18,143
178,43,89,310
86,214,43,342
427,103,214,744
206,513,103,822
1026,41,513,1580
82,205,41,329
410,16,205,632
33,82,16,132
164,7,82,253
13,33,7,53
66,3,33,101
5,13,3,21
26,5,13,45
11,26,5,42
53,11,26,89
21,53,11,84
105,21,53,179
42,21,21,84
42,8,21,71
17,8,8,34
17,17,8,42
34,17,17,67
34,34,17,84
68,34,34,135
67,14,34,114
27,81,14,121
161,5,81,247
11,32,5,48
65,11,32,108
22,77,11,110
155,4,77,237
9,31,4,44
62,9,31,102
17,12,9,38
25,17,12,54
35,25,17,77
50,35,25,109
69,10,35,114
20,14,10,44
28,20,14,61
40,28,20,87
55,40,28,123
79,11,40,130
22,16,11,49
32,22,16,70
44,32,22,98
63,44,32,139
89,13,44,145
25,106,13,144
212,5,106,324
10,42,5,58
85,2,42,129
4,17,2,23
34,4,17,55
8,34,4,46
68,8,34,110
16,14,8,38
27,16,14,57
32,27,16,76
54,32,27,114
65,11,32,108
22,78,11,111
156,4,78,238
9,31,4,44
62,9,31,102
17,12,9,39
25,17,12,55
35,25,17,77
50,35,25,110
70,10,35,114
20,14,10,44
28,20,14,62
40,28,20,88
56,40,28,123
80,11,40,131
22,16,11,49
32,22,16,70
45,32,22,99
64,45,32,140
89,13,45,146
26,18,13,56
36,5,18,59
10,7,5,22
14,10,7,32
20,14,10,45
29,20,14,63
41,29,20,90
57,41,29,126
82,11,41,134
23,16,11,51
33,27,16,76
55,39,27,121
78,11,39,129
22,16,11,49
31,22,16,69
44,31,22,97
63,44,31,138
88,13,44,144
25,18,13,55
35,5,18,58
10,7,5,22
14,10,7,31
20,14,10,44
28,20,14,62
40,28,20,88
56,40,28,124
80,11,40,132
22,16,11,50
32,22,16,71
45,32,22,99
64,45,32,141
90,13,45,147
26,18,13,57
36,31,18,85
62,7,31,100
14,12,7,34
25,14,12,51
29,25,14,68
49,29,25,103
57,10,29,96
20,11,10,41
23,20,11,54
39,23,20,82
46,39,23,108
79,9,39,128
18,16,9,43
32,18,16,66
37,32,18,87
63,37,32,132
73,13,37,123
25,15,13,53
29,5,15,49
10,29,5,45
59,10,29,98
20,59,10,89
118,20,59,197
40,24,20,84
47,8,24,79
16,9,8,34
19,16,9,44
32,19,16,67
38,32,19,89
65,38,32,135
75,13,38,126
26,15,13,54
30,5,15,50
10,30,5,46
60,10,30,101
21,72,10,103
144,25,72,242
50,29,25,103
58,10,29,97
20,12,10,41
23,20,12,55
40,23,20,83
46,40,23,109
80,9,40,128
18,16,9,44
32,18,16,66
37,32,18,87
64,37,32,132
74,13,37,124
